Product;Category;Sales;Units Sold;Date
The Da Vinci Code;Books;400;400;04-01-24
Neutrogena Skincare Set;Beauty Products;699;701;05-01-24
Dune by Frank Herbert;Books;4244;424;10-01-24
Gone Girl by Gillian Flynn;Books;645;645;22-01-24
Pride and Prejudice by Jane Austen;Books;724;724;28-01-24
1984 by George Orwell;Books;668;668;03-02-24
Harry Potter and the Sorcerer's Stone;Books;596;596;09-02-24
Becoming by Michelle Obama;Books;635;635;15-02-24
Clinique Moisture Surge;Beauty Products;654;654;16-02-24
Shiseido Ultimate Sun Protector;Beauty Products;452;452;22-02-24
Educated by Tara Westover;Books;312;312;27-02-24
Anastasia Beverly Hills Brow Wiz;Beauty Products;365;365;28-02-24
Where the Crawdads Sing by Delia Owens;Books;365;365;04-03-24
Drunk Elephant C-Firma Day Serum;Beauty Products;488;488;11-03-24
The Hobbit by J.R.R. Tolkien;Books;734;734;22-03-24
Charlotte Tilbury Magic Cream;Beauty Products;542;542;23-03-24
The Catcher in the Rye by J.D. Salinger;Books;444;444;28-03-24
Sunday Riley Good Genes;Beauty Products;334;334;29-03-24
